#رقم	الكلمة	غير مشكول	جذر	وزن	صنف	أصل	معرفة	جنس	مؤنثه	مذكره	عدد	الجمع	مفرده	تأنيث	تثنية	ج. مؤ.س.	ج, مذ, س,	منقوص	تنوين نصب	نسب	إض, لف,	ـو	نكرة	معرف	غ. عاقل	عاقل	تنون النصب للجمع	شرح
3575	خَضْبٌ		خضب		مصدر	خَضَبَ		مذكر			مفرد	خُضُوبٌ			DnN				Tn	R								"(مص. خَضَبَ). 1. ""نَبَاتٌ خَضْبٌ"" : الجَدِيدُ مِنَ النَّبَاتِ يُمْطَرُ فَيَخْضَرُّ. 2.""خَضْبُ الشَّجَرِ"" : خُضْرَتُهُ. 3. ""خَضْبُ النَّبَاتِ"" :"
3576	خُضُوبٌ		خضب		مصدر	خَضَبَ		مؤنث			جمع		خَضْبٌ						Tn									
3577	تَخْضِيرٌ		خضر		مصدر	خَضَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْضِيرٌ-تَخْضِيرٌ [خ ض ر] (مص. خَضَّرَ). """
3578	تَخْضِيعٌ		خضع		مصدر	خَضَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْضِيعٌ-تَخْضِيعٌ [خ ض ع] (مص. خَضَّعَ) . ""حَاوَلَ تَخْضِيعَهُ"" : تَصْيِيرَهُ خَاضِعاً ."
3579	خُضُوعٌ		خضع		مصدر	خَضَعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خُضُوعٌ-خُضُوعٌ [خ ض ع] (مص. خَضَعَ). ""وَقَفَ أَمَامَهُ فِي خُضُوعٍ"" : فِي ذُلٍّ وَمَهَانَةٍ."
3580	خَطٌّ		خطط		مصدر	خَطَّ		مذكر			مفرد	خُطُوطٌ			DnN				Tn	R								"(مص. خَطَّ). 1. ""خَطٌّ جَمِيلٌ"" : الْكِتَابَةُ وَرَسْمُ الْكَلِمَاتِ. 2. ""خَطٌّ مُسْتَقِيمٌ"" (هن) : كُلُّ مَا لَهُ طُولٌ يَبْدَأُ بِنُقْطَةٍ وَيَنْتَهِي بِنُقْطَةٍ لاَ عَرْضَ لَهُ وَلاَ ارتِفَاعَ. 3. ""وَالْخُطُوطُ الْهَنْدَسِيَّةُ أَنْوَاعٌ، مِنْهَا"" : أ. ""خَطُّ نِصْفِ مُسْتَقِيمٍ"" (هن) : جُزْءٌ مِنَ المسْتَقِيمِ مَحْدُودٌ مِنْ جِهَةٍ، وَلاَ حَدَّ لَهُ مِنَ الْجِهَةِ الأُخْرَى. ب. ""الْخَطُّ الْمُنْحَنِي"" : مَا لَيسَ بِمُسْتَقِيمٍ وَلاَ مُنْكَسِرٍ. ج. ""الْخَطُّ الْمُنْكَسِرُ"" (هن) : مَا هُوَ مُؤَلَّفٌ مِنْ مُسْتَقِيمَاتٍ مُتَتَالِيَةٍ. 4. ""خَطُّ الاسْتِوَاءِ"" : (جغ) خَطٌّ يُحِيطُ بِالأَرْضِ وَيَقْطَعُهَا إِلى نِصْفَيْنِ مُتَسَاوِيَيْنِ : نِصْفٍ شَمَاليٍّ وَنِصْفٍ جَنُوبِيٍّ. 5. ""خَطُّ الاسْتِوَاءِ السَّمَاوِيُّ"" (فك) : دَائِرَةُ الْكُرَةِ السَّمَاوِيَّةِ فِي تَقَاطُعٍ عَلَى مِحْوَرِ الأَرْضِ. 6.""خَطُّ الْعَرْضِ"" : دَائِرَةٌ وَهْمِيَّةٌ مُوَازِيَةٌ لِخَطِّ الاِسْتِوَاءِ. 7.""خَطُّ الطُّولِ"" : خُطُوطُ الزَّوَالِ عَمُودِيَّةٌ عَلَى خَطِّ الاِسْتِوَاءِ. 8.""خَطُّ الاِعْتِدَالِ"" : الْخَطُّ الوَهْمِيُّ القَائِمُ بَيْنَ خَطَّيْ مَدَارِ الشَّمْسِ وَالاِسْتِوَاءِ. 9. ""الْخَطُّ الْبَيَانِيُّ"" : خَطٌّ يُبَيِّنُ الارْتِبَاطَ بَيْنَ مُتَغَيِّرَيْنِ أَوْ أَكْثَرَ. 10. ""خَطٌّ أُفُقِيٌّ"" : مَا هُوَ مُمْـتَدٌّ فِي الأُفُقِ. 11. ""خَطٌّ عَمُودِيٌّ"" : مَا هُوَ قَائِمٌ. 12. ""خَطُّ أَنَابِيبَ"" : أَنَابِيبُ مُجَوَّفَةٌ تَنْقُلُ النَّفْطَ وَالغَازَ وَنَحْوَهُمَا. 13.""خَطُّ السِّكَّ"
3581	خَفْخَفَةٌ		خفخف		مصدر	خَفْخَفَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خَفْخَفَةٌ-خَفْخَفَةٌ [خ ف خ ف] (مص. خَفْخَفَ). ""أَحْدَثَ خَفْخَفَةً"" : صَوْتاً."
3582	خِطْبَةٌ		خطب		مصدر	خَطَبَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خِطْبَةٌ-خِطْبَةٌ [خ ط ب] (مص. خَطَبَ). 1. ""جَاءَ لِخِطْبَةِ ابْنَتِهِ"" : جَاءَ يَطْلُبُهَا لِلزَّوَاجِ... 2. ""هِيَ فَتاةٌ خِطْبَةُ فُلاَنٍ"" : الفَتَاةُ الْمَخْطُوبَةُ لِـ..."
3583	خَطَابَةٌ		خطب		مصدر	خَطُبَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خَطَابَةٌ-خَطَابَةٌ [خ ط ب] (مص. خَطُبَ). ""لَهُ مَعْرِفَةٌ بِفَنِّ الْخَطَابَةِ"" : إِجَادَةُ إِلقَاءِ الخُطَبِ."
3584	خَطَرٌ		خطر		مصدر	خَطُرَ		مذكر			مفرد	أَخْطَارٌ			DnN				Tn	R								"(مص. خَطُرَ). 1.""يُوَاجِهُ خَطَرًا مُحْدِقاً"" : هَوْلاً، أَيْ الإِشْرَافَ عَلَى الهَلاَكِ. ""مَوْقِفٌ يُنذِرُ بِالخَطَرِ"". 2. ""دَقَّ نَاقُوسَ الخَطَرِ"" : نَبَّهَ إِلَى أَمْرٍ يُهَدِّدُ النَّاسَ بِالْهَلاَكِ. 3. ""إِنْذَارُ الْخَطَرِ"" : جَرَسٌ خَاصٌّ يُعَلَّقُ فِي عَرَبَاتِ القِطَارِ يُوضَعُ تَحْتَ تَصَرُّفِ الْمُسَافِرِينَ فِي حَالةِ وُجُودِ مَا يُهَدِّدُ حَياتَهُمْ. كَمَا يُوضَعُ فِي أَمَاكِنَ تَكُونُ فِيهَا الحَاجَةُ إِلَى الإِنْذَارِ مُلِحَّةً. 4. ""مِن"
3585	أَخْطَارٌ		خطر		مصدر	خَطُرَ		مؤنث			جمع		خَطَرٌ						Tn									
3586	خُطُورَةٌ		خطر		مصدر	خَطُرَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خُطُورَةٌ-خُطُورَةٌ [خ ط ر] (مص. خَطُرَ). ""اِنْتَبِهْ !إِنَّ القَضِيَّةَ عَلَى جَانِبٍ مِنَ الْخُطُورَةِ"" : عَلَى جَانِبٍ مِنَ الأهَمِّيَّةِ القُصْوَى، الجَسَامَةِ، الجِدِّيَّةِ. ""شَعَرَ بِخُطُورَةِ الْمَوْقِفِ""."
3587	تَخْطِيطٌ		خطط		مصدر	خَطَّطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْطِيطٌ-تَخْطِيطٌ [خ ط ط] (مص. خَطَّطَ). 1.""قَدَّمَ تَخْطِيطاً اقْتِصَادِيّاً لِلْمَرْحَلَةِ القَادِمَةِ"" : بَرْنَامَجاً اِقْتِصَادِيّاً يَتَضَمَّنُ كَيْفِيَّةَ التَّمْوِيلِ وَالإِنْجَازِ وَطُرُقِ التَّنْفِيذِ. 2"
3588	خَطْفٌ		خطف		مصدر	خَطَفَ		مذكر			مفرد								Tn	R								"خَطْفٌ-خَطْفٌ [خ ط ف] (مص. خَطَفَ). ""تَعَرَّضَ وَلَدُ الْجَارِ لِلْخَطْفِ"" : أُخِذَ عَمْدًا، قَسْرًا عَلَى الرَّغْمِ مِنْهُ."
3589	خَطَلٌ		خطل		مصدر	خَطِلَ		مذكر			مفرد								Tn	R								"خَطِلٌ-خَطِلٌ [خ ط ل] (صِيغَةُ فَعِل). ""إِنْسَانٌ خَطِلٌ"" : أَحْمَقُ."
3590	خِفَّةٌ		خفف		مصدر	خَفَّ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خِفَّةٌ-خِفَّةٌ [خ ف ف] (مص. خَفَّ). 1. ""خِفَّةُ الوَزْنِ"" : قِلَّةُ ثِقْلِهِ. 2. ""فِي حَرَكَاتِهِ خِفَّةٌ"" : طَيْشٌ، حُمْقٌ. ""يَتَكَلَّمُ بِخِفَّةٍ لاَيُحْسَدُ عَلَيْهَا"". 3. ""مَعْرُوفٌ بِخِفَّةِ اليَدِ"" : بِالسَّرِقَةِ، بِالشَّعْوَذَةِ. 4. ""خِفَّةُ حَرَكَاتِهَا تَجْعَلُهَا فِي مُنْتَهَى الجَمَالِ"" : رَشَاقَةُ حَرَكَاتِهَا. 5. ""مَحْبُوبٌ لِخِفَّةِ دَمهِ أَوْ رُوحِهِ"" : مَحْبُوبٌ لِلُطْفِهِ، مُسْتَمْلَحٌ."
3591	تَخْفِيرٌ		خفر		مصدر	خَفَّرَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْفِيرٌ-تَخْفِيرٌ [خ ف ر] (مص. خَفَّرَ). 1.""تَخْفِيرُ الْقَافِلَةِ"" : حِمَايَتُهَا وَتَأْمِينُهَا. 2.""تَخْفِيرُ الضَّيْعَةِ "" : تَسْوِيرُهَا."
3592	خَفْرٌ		خفر		مصدر	خَفَرَ		مذكر			مفرد								Tn	R								"خَفْرٌ-خَفْرٌ [خ ف ر] (مص. خَفَرَ). ""قُوَّةُ الْخَفْرِ"" : قُوَّاتُ الْحِرَاسَةِ."
3593	خَفَرٌ		خفر		مصدر	خَفِرَ		مذكر			مفرد								Tn	R								"خَفَرٌ-خَفَرٌ [خ ف ر] (مص. خَفِرَ). ""خَفَرُ الْمَرْأَةِ"" : شِدَّةُ حَيَائِهَا. ""اِبْتَسَمَتِ الْمَرْأَةُ فِي خَفَرٍ وَحَيَاءٍ""."
3594	تَخْفِيضٌ		خفض		مصدر	خَفَّضَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْفِيضٌ-تَخْفِيضٌ [خ ف ض] (مص. خَفَّضَ). 1.""التَّخْفِيضُ مِنْ هَوْلِ الْمُصَابِ"" : التَّخْفيفُ، التَّهْوِينُ مِن ... 2.""التَّخْفِيضُ مِنْ سُرْعَةِ السَّيَّارَةِ"" : الإِنْقَاصُ مِن. 3.""تَخْفِيضُ الأَسْعَارِ"" : تَقْلِيلُ ثَمَنِهَا. 4.""التَّخْفِيضُ مِنْ دَرَجَةِ الحَرَارَةِ"" : التَّخْفِيفُ مِنْهَا."
3595	تَخْفِيفٌ		خفف		مصدر	خَفَّفَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْفِيفٌ-تَخْفِيفٌ [خ ف ف] . (مص. خَفَّفَ). 1.""يُسَاعِدُهُ الدَّوَاءُ عَلَى تَخْفِيفِ آلاَمِهِ"" : عَلَى تَسْكِينِهَا وَتَهْدِئَتِهَا. 2.""طَالَبَ الْمُحَامِي بِتَخْفِيفِ العُقُوبَةِ"": بِتَخْفِيضِهَا. 3.""رَاعَتِ الْمَحْكَمَةُ ظُرُوفَ التَّخْفِيفِ"" : مُرَاعَاةُ الظُّرُوفِ وَالْمُلاَبَسَاتِ الْمُحِيطَةِ بِالجَرِيمَةِ مِمَّا يَنْتُجُ عَنْهُ بِالضَّرُورَةِ التَّخْفِيضُ مِنَ العُقُوبَةِ."
3596	خَفَقَانٌ		خفق		مصدر	خَفَقَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خَفَقَانٌ-خَفَقَانٌ [خ ف ق] (مص. خَفَقَ). ""خَفَقَانُ الْقَلْبِ"" : وَجيبُهُ، اِضْطِرَابُهُ، حَرَكَاتُهُ الْمُتَوَالِيَةُ إِثْرَ انْفِعَالٍ. ""يَشْعُرُ بِارْتِجَافِ جَسَدِهِ وَخَفَقَانِ قَلْبِهِ""."
3597	خَفَاءٌ		خفي		مصدر	خَفِيَ		مذكر			مفرد	أخْفـِيَةٌ			Dz				Tn	Rz								"(مص. خَفِيَ). 1.""يَقُومُ بِعَمَلِهِ فِي الخَفَاءِ"" : فِي السِّرِّ. ""لَقِيتُهُ في الخَفَاءِ"" ""لاَ أَحَدَ يَعْرِفُ أيْنَ يَسْكُنُ. إِنَّهُ يَعِيشُ فِي الخَفَاءِ"". 2. ""بَرِحَ الخَفَاءُ"" : وَضَحَ الأَمْرُ."
3598	أخْفِيَةٌ		خفي		مصدر	خَفِيَ		مؤنث			جمع		خَفَاءٌ						Tn									
3599	خَلاَءٌ		خلو		مصدر	خَلاَ		مذكر			مفرد	+ات			Dz	Pf			Tn	Rz								"خَلاَءٌ-خَلاَءٌ [خ ل و] (مص. خَلاَ). 1. ""وَجَدَ نَفْسَهُ فِي الخَلاَءِ"" : فِي مَكَانٍ خَالٍ لاَ أَحَدَ بِهِ. 2. ""خَرَجَ الأَطْفَالُ إِلى الخَلاَءِ"" : إِلَى الطَّبِيعَةِ. 3. ""بَيْتُ الْخَلاَءِ"" : الْمِرْحَاضُ، الكَنِيفُ، بَيْتُ قَضَاءِ الْحَاجَةِ."
3600	خَلْوَةٌ		خلو		مصدر	خَلاَ		مؤنث			مفرد	خَلَوَاتٌ			DnN				Tn	R								"(مص. خَلاَ). 1.""اِعْتَزَلَ فِي خَلْوَتِهِ"": العُزْلَةُ، مَكَانُ اخْتِلاَءِ الإِنْسَانِ. ""اللَّهُمَّ قَوِّنِي وَاحْفَظْنِي فِي هَذِهِ الخَلْوَةِ"" (المختار السوسي) ""العِبَادَةُ حِرْفَةٌ وَحَانُوتُهَا الخَلْوَةُ"" (التوحيدي). 2.""عَلَى خَلْوَةٍ"" : عَلَى انْفِرَادٍ."
3601	خَلَوَاتٌ		خلو		مصدر	خَلاَ		مؤنث			جمع		خَلْوَةٌ						Tn									
3602	خَلْخَلَةٌ		خلخل		مصدر	خَلْخَلَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خَلْخَلَةٌ-خَلْخَلَةٌ [خ ل خ ل] (مص. خَلْخَلَ). ""كَانَتْ خَلْخَلَةُ الْخَلْخَالِ تُصَاحِبُ كُلَّ حَرَكَةٍ مِنْ حَرَكَاتِ رَقْصِهَا"" : مَا يَنْتُجُ مِنْ صَوْتٍ عِنْدَ إِحْدَاثِ حَرَكَةٍ."
3603	تَخْلِيدٌ		خلد		مصدر	خَلَّدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْلِيدٌ-تَخْلِيدٌ [خ ل د] . (مص. خَلَّدَ). ""تَخْلِيدُ ذِكْرَى عِيدِ الاسْتِقْلالِ"" : إِحْيَاؤُهَا لِتَبْقَى خَالِدَةً. ""فَحَمَلَنِي الكَلَفُ وَالْمَوَدَّةُ لَهُمْ وَالسُّرُورُ بِتَخْلِيدِ فَخْرِهِمْ وَتَشْييدِ ذِكْرِهِمْ"". (الجاحظ)."
3604	خُلْدٌ		خلد		مصدر	خَلَدَ		مذكر			مفرد								Tn	R								"خُلْدٌ-خُلْدٌ [خ ل د] (مص. خَلَدَ). 1. ""اِنْتَقَلَ إِلى دَارِ الخُلْدِ"" : إِلى دَارِ البَقاء، الآخِرَةِ، الجَنَّةِ، الفِرْدَوْسِ. 2. ""عَمَلُهُ فِي خُلْدٍ"" : فِي دَوَامٍ وَبَقَاءٍ."
3605	خُلُودٌ		خلد		مصدر	خَلَدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خُلُودٌ-خُلُودٌ [خ ل د] (مص. خَلَدَ). 1. ""الخُلُودُ لِلَّهِ"" : الدَّوَامُ وَالبَقَاءُ لِلَّهِ لاَ بِدَايَةَ لَهُ وَلاَ نِهَايَةَ. 2. ""اِنْتَقَلَ إِلى دَارِ الخُلُودِ"" : الآخِرَةِ، دَار الْبَقَاءِ. 3. ""خُلُودُ النَّفسِ"" : بَقَاؤُهَا بَعْدَ الْمَوْتِ، أَيْ عَدَمُ فَنَائِهَا."
3606	تَخْلِيصٌ		خلص		مصدر	خَلَّصَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْلِيصٌ-تَخْلِيصٌ [خ ل ص] (مص. خَلَّصَ). 1.""سَعَى إِلَى تَخْلِيصِهِ مِنْ أَزْمَتِهِ"" : إِنْقَاذِهِ. 2.""تَمَكَّنَ مِنْ تَخْلِيصِ البَضَائِعِ"": مِنْ دَفْعِ الرُّسُومِ الْمُسْتَحَقَّةِ عَلَيْهَا لإِخْرَاجِهَا مِنَ الجُمْرُكِ."
3607	خَلاَصٌ		خلص		مصدر	خَلَصَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خَلاَصٌ-خَلاَصٌ [خ ل ص] (مص. خَلَصَ). 1. ""يَبْحَثُ عَنِ الخَلاَصِ"" : عَنِ النَّجَاةِ. 2. ""أَمَلُهُ فِي الخَلاَصِ الأَبَدِيِّ"" : فِي الفَوْزِ بِآخِرَةٍ صَالحَةٍ. 3. ""الخَلاَصُ عِنْدَ الْمَسِيحِيِّينَ"" : النِّهَايَةُ السَّعِيدَةُ لِلْمُؤْمِنِينَ. 4. ""خَلاَصُ الأَجِيرِ"" : أُجْرَتُهُ."
3608	خُلُوصٌ		خلص		مصدر	خَلَصَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خُلُوصٌ-خُلُوصٌ [خ ل ص] (مص. خَلَصَ). 1.""أَعْرِفُ خُلُوصَ نِيَّتِهِ"" : صَفَاءهَا. 2.: رُبٌّ يُتَّخَذُ مِنَ التَّمْرِ. 3.: الثُّفْلُ الَّذِي يَبْقَى فِي أَسْفَلِ السَّمْنِ وَاللَّبَنِ."
3609	تَخْلِيطٌ		خلط		مصدر	خَلَّطَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْلِيطُ-تَخْلِيطُ [خ ل ط] (مص. خَلَّطَ). 1.""تَخْلِيطُ الْمَوَادِّ الكِيمِيَائِيَّةِ"" : مَزْجُهَا. 2.""التَّخْلِيطُ بَيْنَ الأُمُورِ"" : عَدَمُ التَّمْيِيزِ بَيْنَهَا. 3.""وَجَدَ فِي كَلاَمِهِ تَخْلِيطاً"" : هَذَيَاناً. ""كَلاَمُ امْرَأَةٍ مِنْ دَارِ قَوْمٍ فِيهِ تَخْلِيطٌ وَهَذَيَانٌ"". 4.""التَّخْلِيطُ فِي الأَكْلِ"" : أَكْلُ أَنْوَاعٍ‎ مُخْتَلِفَةٍ مِنَ الطَّعَامِ."
3610	تَخْلِيعٌ		خلع		مصدر	خَلَّعَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْلِيعٌ-تَخْلِيعٌ [خ ل ع] (مص. خَلَّعَ). 1.""تَخْلِيعُ جِهَازٍ آلِيٍّ"" : تَفْكِيكُهُ. 2.""التَّخْلِيعُ فِي الْمَشْيِ"" : هَزُّ الْمَنْكِبَيْنِ فِي الْمَشْيِ."
3611	خَمَرٌ		خمر		مصدر	خَمِرَ		مذكر			مفرد								Tn	R								"خَمِرٌ-خَمِرٌ [خ م ر] (صِيغَةُ فَعِل ). 1. ""رَجُلٌ خَمِرٌ"": أَصَابَهُ الخُمَارُ. 2. ""مَكَانٌ خَمِرٌ"" : كَثِيرُ الخَمْرِ."
3612	خَلْعٌ		خلع		مصدر	خَلَعَ		مذكر			مفرد								Tn	R								"خَلْعٌ-خَلْعٌ [خ ل ع] (مص. خَلَعَ). 1. ""قَامَ بِخَلْعِ أَضْرَاسِهِ"": بِقَلْعِهَا. 2. ""خَلْعُ المِفْصَلِ"" : تَحَوُّلهُ عَنْ مَوْضِعِهِ."
3613	خَلاَعَةٌ		خلع		مصدر	خَلُعَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خَلاَعَةٌ-خَلاَعَةٌ [خ ل ع] (مص. خَلُعَ). ""يَا لَهَا مِنْ خَلاَعَةٍ!"": التَّهَتُّكُ، الْمُجُونُ، فَسَادُ الأَخْلاَقِ، الإِغْرَاقُ فِي الْمَلَذَّاتِ، الْفُجُورُ."
3614	خِلاَفَةٌ		خلف		مصدر	خَلَفَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خِلاَفَةٌ-خِلاَفَةٌ [خ ل ف] (مص. خَلَفَ). 1. ""عَاشَ فِي عَصْرِ الخِلاَفَةِ"" : أَيْ فِي مَرْحَلَةِ حُكْمِ الخُلَفَاءِ الرَّاشِدِينَ، أَي الَّذِينَ تَوَلَّوْا إِمَامَةَ الْمُسْلِمِينَ بَعْدَ النَّبِيِّ صَلَّى الله عَلَيْهِ وَسَلَّمَ. 2.""يُفَكِّرُ الأَمِيُر فِي خِلاَفَتِهِ"" : فِي مَنْ سَيَتَوَلَّى الإِمَارَةَ بَعْدَهُ. 3. ""جَاءَ لِخِلاَفَتِهِ"" : لِلنِّيَابَةِ عَنْهُ."
3615	خَلْفٌ		خلف		مصدر	خَلَفَ		مذكر			مفرد								Tn	R								"خَلْفٌ-خَلْفٌ [خ ل ف] (مص. خَلَفَ). 1. ""يَجْرِي خَلْفَهُ"": وَرَاءَهُ. 2. ""جَاءَ مِنْ خَلْفِهِ"" : فَاجَأَهُ، بَاغَتَهُ. 3. ""سَارَ إِلى الخَلْفِ"" : تَأَخَّرَ. 4. ""يَتَكَلَّمُ عَنْ رِفَاقِهِ فِي الْخَلْفِ"" : وَرَاءَ ظُهُورِهِمْ، فِي الخَفَاءِ."
3616	خَلَفٌ		خلف		مصدر	خَلِفَ		مذكر			مفرد								Tn	R								"خَلَفٌ-خَلَفٌ [خ ل ف] (مص. خَلِفَ). 1. ""لَمْ يَتْرُكْ خَلَفاً"": وَرِيثاً. 2. ""هَذَا ما أخذه الْخَلَفُ عَنِ السَّلَفِ"" : اللاَّحِقُ عَنِ السَّابِقِ. 3. ""إِنَّهُ الخَلَفُ الصَّالِحُ"" : الذُّرِّيَّةُ الصَّالِحَةُ. 4.""اللَّهُمَّ اجْعَلْهُ لَهُ بِالْخَلَفِ"" : بِالعِوَضِ وَالبَدَلِ."
3617	خَلْقٌ		خلق		مصدر	خَلَقَ		مذكر			مفرد								Tn	R								"خَلْقٌ-خَلْقٌ [خ ل ق] (مص. خَلَقَ). 1. ""وَجَدَ خَلْقاً عَظِيماً بِالسَّاحَةِ"" : جَمْعاً مِنَ النَّاسِ. 2. ""بِدَائِيُّ الخَلْقِ"" : بِدَائِيُّ الفِطْرَةِ. 3. ""خَلْقُ عَمَلٍ"" : إِيجَادُهُ مِنْ عَدَمٍ، اِبْتِكَارُهُ، إِبْدَاعُهُ."
3618	خَمَجٌ		خمج		مصدر	خَمِجَ		مذكر			مفرد	أَخْمَاجٌ			DnN				Tn	R								"(مص. خَمِجَ). ""اِنْتَشَرَ الخَمَجُ فِي اللَّحْمِ"" : التَّعَفُّنُ، النُّتُونَةُ."
3619	أَخْمَاجٌ		خمج		مصدر	خَمِجَ		مؤنث			جمع		خَمَجٌ						Tn									
3620	خُمُودٌ		خمد		مصدر	خَمَدَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"خُمُودٌ-خُمُودٌ [خ م د] (مص. خَمَدَ). 1. ""مَا هَذَا الخُمُودُ"" : الرُّكُودُ. 2. ""بَعْدَما هَبَّتِ العَاصِفَةُ تَلاَهَا خُمُودٌ"": سُكُونٌ، هُدُوءٌ."
3621	تَخْوِيلٌ		خول		مصدر	خَوَّلَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْوِيلٌ-تَخْوِيلٌ [خ و ل] (مص. خَوَّلَ). ""اِتَّفَقُوا عَلَى تَخْوِيلِهِ حَقّاً مِنْ حُقوقِهِ"" : مَنْحُهُ إِيَّاهُ، إِعْطَاؤُهُ."
3622	خَمْشٌ		خمش		مصدر	خَمَشَ		مذكر			مفرد	خُمُوشٌ			DnN				Tn	R								"(مص. خَمَشَ). ""ظَهَرَتْ عَلَى وَجْهِهِ خُمُوشٌ"" : خُدُوشٌ."
3623	خُمُوشٌ		خمش		مصدر	خَمَشَ		مؤنث			جمع		خَمْشٌ						Tn									
3624	تَخْمِينٌ		خمن		مصدر	خَمَّنَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْمِينٌ-تَخْمِينٌ [خ م ن] (مص. خَمَّنَ). ""قَدَّرَ ثَمَنَ البِضَاعَةِ بِالتَّخْمِينِ"" : تَعْيِينُ ثَمَنِهَا ظَنّاً وَحَدْساً ."
3625	خَنىً		خنو		مصدر	خَنَا;خَنِيَ		مذكر			مفرد								Tn	Rw								"خَنىً-خَنىً [خ ن و] (مص. خَنَا، خَنِيَ). 1. ""جَاءَ فِي كَلاَمِهِ الخَنَى"" : الفُحْشُ فِي الكَلاَمِ. 2. ""خَنَى الدَّهْرِ"" : مَصَائِبُهُ، آفَاتُهُ وَنَوَائِبُهُ."
3626	خَنَزٌ		خنز		مصدر	خَنِزَ		مذكر			مفرد								Tn	R								"خَنِزٌ-خَنِزٌ [خ ن ز] (صِيغَةُ فَعِل). ""مَكَانٌ خَنِزٌ"" : بِهِ عُفُونَةٌ، مُتَعَفِّنٌ. ""لَحْمٌ خَنِزٌ""."
3627	خَنْقٌ		خنق		مصدر	خَنَقَ		مذكر			مفرد								Tn	R								"خَنْقٌ-خَنْقٌ [خ ن ق] (مص. خَنَقَ). 1. ""أَصَابَهُ الخَنْقٌ"" : أَي انْخَنَقَ، اِنْحَصَرَ حَلْقُهُ. 2. ""خَنْقُ الحُرِّيَّاتِ"" : التَّضْيِيقُ عَلَى الحُرِّيَّاتِ."
3628	خَوَرٌ		خور		مصدر	خَوِرَ		مذكر			مفرد								Tn	R								"خَوَرٌ-خَوَرٌ [خ و ر] (مص. خَوِرَ). ""أَصَابَهُ الخَوَرُ"" : الضَّعْفُ، التَّلاَشِي، الانْكِسَارُ. ""عَرَفَتْ قُوَاهُ خَوَرا"" ""الحُزْنُ وَالغَمُّ وَالهَمُّ وَالأَسَى وَالجَزَعُ وَالخَوَرُ مِنْ شَجَرَةٍ وَاحِدَةٍ"" (التوحيدي)."
3629	خَوْصَصَةٌ		خوص		مصدر	خَوْصَصَ		مؤنث			مفرد	+ات			DnN	Pf			Tn	R								"خَوْصَصَةٌ-خَوْصَصَةٌ [خ و ص] (مص. خَوْصَصَ). ""خَوْصَصَةُ مُؤَسَّسَةٍ عُمومِيَّةٍ"" : نَقْلُ تَسْيِيرِ إِدارَتِها وَشُؤونِها الْمالِيّةِ مِنْ مِلْكِيَّةِ الدَّوْلَةِ إلى قِطاعٍ خاصٍّ. (مصلح شائع بِبُلدانِ المغرب العربي)."
3630	تَخْوِيفٌ		خوف		مصدر	خَوَّفَ		مذكر			مفرد	+ات			DnN	Pf			Tn	R								"تَخْوِيفٌ-تَخْوِيفٌ [خ و ف] (مص. خَوَّفَ). ""حَاوَلَ تَخْوِيفَهُ"": أَيْ إِرْعَابَهُ، تَـفْزِيعَهُ. ""لَمْ يَنْفَعْ مَعَهُ التَّخْوِيفُ وَلاَ التَّرْهِيبُ""."
